;name;party;date;color
http://ldf.fi/semparl/people/p923;Blomqvist, Thomas;Suomen ruotsalainen kansanpuolue;2007-03-21;#EFCB65
http://ldf.fi/semparl/people/p1121;Ihalainen, Lauri;Suomen Sosialidemokraattinen Puolue;2011-04-20;#E11931
http://ldf.fi/semparl/people/p1101;Pirttilahti, Arto;Suomen Keskusta;2011-04-20;#01954B
http://ldf.fi/semparl/people/p1328;Harkimo, Harry;Liike Nyt;2018-04-27;#B42079
http://ldf.fi/semparl/people/p1149;Lohi, Markus;Suomen Keskusta;2011-04-20;#01954B
http://ldf.fi/semparl/people/p931;Feldt-Ranta, Maarit;Suomen Sosialidemokraattinen Puolue;2007-03-21;#E11931
http://ldf.fi/semparl/people/p1148;Lohela, Maria;Liike Nyt;2019-01-22;#B42079
http://ldf.fi/semparl/people/p1137;Kiuru, Pauli;Kansallinen Kokoomus;2011-04-20;#00587C
http://ldf.fi/semparl/people/p1297;Marin, Sanna;Suomen Sosialidemokraattinen Puolue;2015-04-22;#E11931
http://ldf.fi/semparl/people/p1152;Mattila, Pirkko;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p357;Tuomioja, Erkki;Suomen Sosialidemokraattinen Puolue;1970-03-23;#E11931
http://ldf.fi/semparl/people/p809;Risikko, Paula;Kansallinen Kokoomus;2003-03-19;#00587C
http://ldf.fi/semparl/people/p1315;Semi, Matti;Vasemmistoliitto;2015-04-22;#BF1E24
http://ldf.fi/semparl/people/p771;Kasvi, Jyrki;Vihreä liitto;2003-03-19;#61BF1A
http://ldf.fi/semparl/people/p1092;Niikko, Mika;Perussuomalaiset;2011-04-20;#FFDE55
http://ldf.fi/semparl/people/p796;Reijonen, Eero;Suomen Keskusta;2003-03-19;#01954B
http://ldf.fi/semparl/people/p930;Järvinen, Heli;Vihreä liitto;2007-03-21;#61BF1A
http://ldf.fi/semparl/people/p1306;Adlercreutz, Anders;Suomen ruotsalainen kansanpuolue;2015-04-22;#EFCB65
http://ldf.fi/semparl/people/p1151;Maijala, Eeva-Maria;Suomen Keskusta;2011-04-20;#01954B
http://ldf.fi/semparl/people/p1131;Wallinheimo, Sinuhe;Kansallinen Kokoomus;2011-04-20;#00587C
http://ldf.fi/semparl/people/p592;Rantakangas, Antti;Suomen Keskusta;1999-03-24;#01954B
http://ldf.fi/semparl/people/p214;Mäkipää, Lea;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p972;Jaskari, Harri;Kansallinen Kokoomus;2007-03-21;#00587C
http://ldf.fi/semparl/people/p1348;Kärnä, Mikko;Suomen Keskusta;2015-04-30;#01954B
http://ldf.fi/semparl/people/p779;Kiviranta, Esko;Suomen Keskusta;2003-03-19;#01954B
http://ldf.fi/semparl/people/p1146;Lindström, Jari;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p772;Kaikkonen, Antti;Suomen Keskusta;2003-03-19;#01954B
http://ldf.fi/semparl/people/p1302;Nurminen, Ilmari;Suomen Sosialidemokraattinen Puolue;2015-04-22;#E11931
http://ldf.fi/semparl/people/p1346;Aalto, Touko;Vihreä liitto;2015-04-22;#61BF1A
http://ldf.fi/semparl/people/p1309;Ruoho, Veera;Kansallinen Kokoomus;2017-06-30;#00587C
http://ldf.fi/semparl/people/p1153;Modig, Silvia;Vasemmistoliitto;2011-04-20;#BF1E24
http://ldf.fi/semparl/people/p212;Pekkarinen, Mauri;Suomen Keskusta;1979-03-24;#01954B
http://ldf.fi/semparl/people/p778;Essayah, Sari;Suomen Kristillisdemokraatit;2003-03-19;#18359B
http://ldf.fi/semparl/people/p1100;Grahn-Laasonen, Sanni;Kansallinen Kokoomus;2011-04-20;#00587C
http://ldf.fi/semparl/people/p1128;Turunen, Kaj;Kansallinen Kokoomus;2018-04-25;#00587C
http://ldf.fi/semparl/people/p790;Tiilikainen, Kimmo;Suomen Keskusta;2003-03-19;#01954B
http://ldf.fi/semparl/people/p1382;Mattila, Hanna-Leena;Suomen Keskusta;2018-06-26;#01954B
http://ldf.fi/semparl/people/p914;Alanko-Kahiluoto, Outi;Vihreä liitto;2007-03-21;#61BF1A
http://ldf.fi/semparl/people/p1119;Hongisto, Reijo;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p1138;Kivelä, Kimmo;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p1380;Mäkinen, Riitta;Suomen Sosialidemokraattinen Puolue;2018-06-15;#E11931
http://ldf.fi/semparl/people/p943;Nylund, Mats;Suomen ruotsalainen kansanpuolue;2007-03-21;#EFCB65
http://ldf.fi/semparl/people/p956;Niinistö, Ville;Vihreä liitto;2007-03-21;#61BF1A
http://ldf.fi/semparl/people/p541;Rehula, Juha;Suomen Keskusta;1996-11-19;#01954B
http://ldf.fi/semparl/people/p938;Heikkinen, Hannakaisa;Suomen Keskusta;2007-03-21;#01954B
http://ldf.fi/semparl/people/p1098;Pelkonen, Jaana;Kansallinen Kokoomus;2011-04-20;#00587C
http://ldf.fi/semparl/people/p356;Rehn, Olli;Suomen Keskusta;1991-03-22;#01954B
http://ldf.fi/semparl/people/p805;Hautala, Lasse;Suomen Keskusta;2003-03-19;#01954B
http://ldf.fi/semparl/people/p1326;Harakka, Timo;Suomen Sosialidemokraattinen Puolue;2015-04-22;#E11931
http://ldf.fi/semparl/people/p414;Vanhanen, Matti;Suomen Keskusta;1991-03-22;#01954B
http://ldf.fi/semparl/people/p802;Mustajärvi, Markus;Vasemmistoliitto;2003-03-19;#BF1E24
http://ldf.fi/semparl/people/p1332;Yanar, Ozan;Vihreä liitto;2015-04-22;#61BF1A
http://ldf.fi/semparl/people/p508;Vehviläinen, Anu;Suomen Keskusta;1995-01-01;#01954B
http://ldf.fi/semparl/people/p157;Juhantalo, Kauko;Suomen Keskusta;1979-03-24;#01954B
http://ldf.fi/semparl/people/p1325;Tanus, Sari;Suomen Kristillisdemokraatit;2015-04-22;#18359B
http://ldf.fi/semparl/people/p1336;Kari, Emma;Vihreä liitto;2015-04-22;#61BF1A
http://ldf.fi/semparl/people/p797;Hoskonen, Hannu;Suomen Keskusta;2003-03-19;#01954B
http://ldf.fi/semparl/people/p1129;Juvonen, Arja;Perussuomalaiset;2011-04-20;#FFDE55
http://ldf.fi/semparl/people/p351;Biaudet, Eva;Suomen ruotsalainen kansanpuolue;1991-03-22;#EFCB65
http://ldf.fi/semparl/people/p1311;Räsänen, Joona;Suomen Sosialidemokraattinen Puolue;2015-04-22;#E11931
http://ldf.fi/semparl/people/p538;Haatainen, Tuula;Suomen Sosialidemokraattinen Puolue;1996-11-19;#E11931
http://ldf.fi/semparl/people/p967;Heinonen, Timo;Kansallinen Kokoomus;2007-03-21;#00587C
http://ldf.fi/semparl/people/p932;Toivakka, Lenita;Kansallinen Kokoomus;2007-03-21;#00587C
http://ldf.fi/semparl/people/p1217;Haglund, Carl;Suomen ruotsalainen kansanpuolue;2012-07-05;#EFCB65
http://ldf.fi/semparl/people/p1304;Parviainen, Olli-Poika;Vihreä liitto;2015-04-22;#61BF1A
http://ldf.fi/semparl/people/p511;Viitanen, Pia;Suomen Sosialidemokraattinen Puolue;1995-03-24;#E11931
http://ldf.fi/semparl/people/p402;Kalli, Timo;Suomen Keskusta;1991-03-22;#01954B
http://ldf.fi/semparl/people/p301;Zyskowicz, Ben;Kansallinen Kokoomus;1979-03-24;#00587C
http://ldf.fi/semparl/people/p960;Kiuru, Krista;Suomen Sosialidemokraattinen Puolue;2007-03-21;#E11931
http://ldf.fi/semparl/people/p1122;Immonen, Olli;Perussuomalaiset;2011-04-20;#FFDE55
http://ldf.fi/semparl/people/p1056;Jokinen, Kalle;Kansallinen Kokoomus;2009-09-09;#00587C
http://ldf.fi/semparl/people/p935;Lehti, Eero;Kansallinen Kokoomus;2007-03-21;#00587C
http://ldf.fi/semparl/people/p784;Satonen, Arto;Kansallinen Kokoomus;2003-03-19;#00587C
http://ldf.fi/semparl/people/p1202;Razmyar, Nasima;Suomen Sosialidemokraattinen Puolue;2015-04-22;#E11931
http://ldf.fi/semparl/people/p1276;Hänninen, Katja;Vasemmistoliitto;2014-07-04;#BF1E24
http://ldf.fi/semparl/people/p1330;Vartiainen, Juhana;Kansallinen Kokoomus;2015-04-22;#00587C
http://ldf.fi/semparl/people/p1111;Suutari, Eero;Kansallinen Kokoomus;2011-04-20;#00587C
http://ldf.fi/semparl/people/p1324;Halmeenpää, Hanna;Vihreä liitto;2015-04-22;#61BF1A
http://ldf.fi/semparl/people/p791;Kiljunen, Anneli;Suomen Sosialidemokraattinen Puolue;2003-03-19;#E11931
http://ldf.fi/semparl/people/p375;Rossi, Markku;Suomen Keskusta;1991-03-22;#01954B
http://ldf.fi/semparl/people/p1313;Berner, Anne;Suomen Keskusta;2015-04-22;#01954B
http://ldf.fi/semparl/people/p887;Paatero, Sirpa;Suomen Sosialidemokraattinen Puolue;2006-02-01;#E11931
http://ldf.fi/semparl/people/p202;Kääriäinen, Seppo;Suomen Keskusta;1987-03-21;#01954B
http://ldf.fi/semparl/people/p1381;Nivala, Eija;Suomen Keskusta;2018-06-18;#01954B
http://ldf.fi/semparl/people/p1319;Taavitsainen, Satu;Suomen Sosialidemokraattinen Puolue;2015-04-22;#E11931
http://ldf.fi/semparl/people/p1298;Mikkonen, Krista;Vihreä liitto;2015-04-22;#61BF1A
http://ldf.fi/semparl/people/p1312;Sarkkinen, Hanna;Vasemmistoliitto;2015-04-22;#BF1E24
http://ldf.fi/semparl/people/p921;Karimäki, Johanna;Vihreä liitto;2007-03-21;#61BF1A
http://ldf.fi/semparl/people/p583;Lintilä, Mika;Suomen Keskusta;1999-03-24;#01954B
http://ldf.fi/semparl/people/p971;Ojala-Niemelä, Johanna;Suomen Sosialidemokraattinen Puolue;2007-01-01;#E11931
http://ldf.fi/semparl/people/p1341;Kurvinen, Antti;Suomen Keskusta;2015-04-22;#01954B
http://ldf.fi/semparl/people/p1327;Tavio, Ville;Perussuomalaiset;2015-04-22;#FFDE55
http://ldf.fi/semparl/people/p1093;Eerola, Juho;Perussuomalaiset;2011-04-20;#FFDE55
http://ldf.fi/semparl/people/p1102;Salonen, Kristiina;Suomen Sosialidemokraattinen Puolue;2011-04-20;#E11931
http://ldf.fi/semparl/people/p800;Tölli, Tapani;Suomen Keskusta;2003-03-19;#01954B
http://ldf.fi/semparl/people/p451;Filatov, Tarja;Suomen Sosialidemokraattinen Puolue;1995-03-24;#E11931
http://ldf.fi/semparl/people/p1118;Tolvanen, Kari;Kansallinen Kokoomus;2011-04-20;#00587C
http://ldf.fi/semparl/people/p953;Kalmari, Anne;Suomen Keskusta;2007-03-21;#01954B
http://ldf.fi/semparl/people/p1305;Pylväs, Juha;Suomen Keskusta;2015-04-22;#01954B
http://ldf.fi/semparl/people/p946;Puumala, Tuomo;Suomen Keskusta;2007-03-21;#01954B
http://ldf.fi/semparl/people/p1141;Östman, Peter;Suomen Kristillisdemokraatit;2011-04-20;#18359B
